;; japanese-artist-reading
;; Readings for Japanese personal names for music credits
;; © 2016-2022, Riku Eskelinen
;;   <https://kingi89.fi/>
;;   <https://github.com/kingi89/japanese-artist-reading>
;; 
;; See LICENSE for license information
;; See README.md for usage information
;; -----------------------------------------------------------------------------
;; <Aitsuki> Nakuru - singer:
あいつき 藍月
;; Kirisaki <Airi> - singer:
あいり 愛里
;; Tateyama <Akiyuki> - composer:
あきゆき 秋航
;; Makino <Akira> - singer:
あきら 明
;; <Asaka> - singer:
あさか 亜咲花
;; <Asami> Rin - singer:
あさみ 朝見
;; <Amamiya> Sora - singer:
あまみや 雨宮
;; Uchida <Aya> - singer:
あや 彩
;; Ōhashi <Ayaka> - singer:
あやか 彩香
;; Kitazawa <Ayaka> - singer:
あやか 綾香
;; <Ayane> - singer:
あやね 彩音
;; <Iguchi> Yuka - singer:
いぐち 井口
;; <Utada> Hikaru - singer:
うただ 宇多田
;; <Utatsuki> Kaori - singer:
うたつき 詩月
;; Sasaki <Eri> - singer-songwriter:
えり 恵梨
;; <Orito> Shinji - composer:
おりと 折戸
;; Ishihara <Kaori> - singer:
かおり 夏織
;; Takase <Kazuya> - composer:
かずや 一矢
;; Hanazawa <Kana> - singer:
かな 香菜
;; Kimura <Kamara> - composer:
かまら 香真良
;; <Kisumi> Reika - singer:
きすみ 木須実
;; Sakura <Saori> - singer:
さおり 紗織
;; Yaginuma <Satoshi> - composer:
さとし 悟志
;; <Shikura> Chiyomaru - composer:
しくら 志倉
;; Shimoji <Shino> - voice actress:
しの 紫野
;; <Shimamiya> Eiko - singer:
しまみや 島みや
;; <Shimoji> Shino - voice actress:
しもじ 下地
;; Konno <Sei> - singer:
せい 聖
;; <Senjōgahara> Hitagi - fictional singer:
せんじょうがはら 戦場ヶ原
;; Amamiya <Sora> - singer:
そら 天
;; Saitō <Chiwa> - voice actress:
ちわ 千和
;; Moriya <Toshinori> - composer:
としのり 敏紀
;; Nakazawa <Tomoyuki> - composer:
ともゆき 伴行
;; <Nakajima> Megumi - singer:
なかじま 中島
;; <Maisaki> Nami - singer, composer:
まいさき 舞崎
;; <Maeda> Jun - composer:
まえだ 麻枝
;; Kurosaki <Maon> - singer:
まおん 真音
;; <Makino> Akira - singer:
まきの 槙野
;; <Michishige> Sayumi - singer:
みちしげ 道重
;; Nakajima <Megumi> - singer:
めぐみ 愛
;; <Moriya> Toshinori - composer:
もりや 森谷
;; Ogura <Yui> - singer:
ゆい 唯
;; Makino <Yui> - singer:
ゆい 由依
;; Iguchi <Yuka> - singer:
ゆか 裕香
;; <Yuzuno> - singer:
ゆずの 柚子乃
;; Nanjō <Yoshino> - singer:
よしの 愛乃
;; Mizutani <Runa> - singer:
るな 瑠奈
;; Kisumi <Reika> - singer:
れいか 怜花
